album_name,number_of_artists,artist_followers_total,artist_followers_average,artist_popularity,type,release_date,release_precision,restrictions,total_tracks,total_length_min,avg_popularity,max_popularity,number_of_collabs,Max_popularity_collab,Avg_popularity_collab,number_of_markets,US_market,CA_market,BR_market,CN_market,DE_market,ES_market,SA_market,UK_market,RU_market,MX_markets
The Eminem Show,1,61179621,61179621.0,90.0,album,2002-05-26,day,False,20,67,60.74999999999999,88,6,78,7.166666666666667,183,True,True,True,False,True,True,True,False,False,True
"Body Head Bangerz, Vol. 1",1,1634667,1634667.0,0.0,compilation,2004-10-26,day,False,16,56,33.125,73,45,63,1.2444444444444445,175,True,True,True,False,True,True,True,False,False,True
The Definition Of X: Pick Of The Litter,1,3804272,3804272.0,69.0,compilation,2007-06-12,day,False,20,69,26.799999999999997,73,6,82,7.5,183,True,True,True,False,True,True,True,False,False,True
Infest,1,4489798,4489798.0,70.0,album,2001-04-25,day,False,13,46,45.76923076923077,79,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
Numb / Encore: MTV Ultimate Mash-Ups Presents Collision Course,2,29718172,14859086.0,82.0,single,2004-11-30,day,False,6,16,37.5,77,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
CREED: Original Motion Picture Soundtrack,1,1634667,1634667.0,0.0,compilation,2015-11-20,day,False,18,61,27.27777777777778,64,31,87,1.8709677419354838,167,True,True,True,False,False,True,False,False,False,True
Jungle (Remix),2,2815990,1407995.0,61.5,single,2014-01-01,day,False,1,3,56.0,56,1,82,82.0,180,True,True,True,False,True,True,True,False,False,True
Victory,1,8603351,8603351.0,78.0,album,2010-03-02,day,False,12,40,24.333333333333332,68,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
Black Snow,1,98088,98088.0,44.0,album,2008-06-24,day,False,21,63,19.38095238095238,45,44,48,0.4090909090909091,179,True,True,True,False,True,True,True,False,False,True
Radioactive,1,43060351,43060351.0,87.0,single,2014-01-01,day,False,1,4,65.0,65,1,87,87.0,180,True,True,True,False,True,True,True,False,False,True
The Heist,3,4547800,1515933.3333333333,73.0,album,2012-10-09,day,False,15,56,41.800000000000004,81,12,71,3.0,180,True,True,True,False,True,True,True,False,False,True
ASTROWORLD,1,21283824,21283824.0,87.0,album,2018-08-03,day,False,17,51,70.94117647058823,81,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
Heartless,1,51962229,51962229.0,93.0,single,2019-11-27,day,False,1,3,3.0,3,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
Immortal,1,11937369,11937369.0,90.0,single,2019-10-31,day,False,1,4,73.0,73,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
The Best In The World Pack,1,68444543,68444543.0,96.0,single,2019-06-15,day,False,2,6,66.0,77,1,76,76.0,178,True,True,True,False,True,True,True,False,False,True
Culture II,1,12671583,12671583.0,77.0,album,2018-01-26,day,False,24,95,55.29166666666667,77,10,96,7.5,182,True,True,True,False,True,True,True,False,False,True
FUTURE,1,12384338,12384338.0,87.0,album,2017-06-30,day,False,20,65,50.94999999999999,82,3,96,24.666666666666668,171,True,True,True,False,True,True,False,False,False,True
O.N.I.F.C. (Deluxe),1,10768534,10768534.0,81.0,album,2012-12-04,day,False,20,73,40.599999999999994,61,14,93,3.7142857142857144,138,True,True,True,False,False,True,True,False,False,True
TESTING,1,11466030,11466030.0,80.0,album,2018-05-25,day,False,15,46,57.99999999999999,81,9,82,9.11111111111111,183,True,True,True,False,True,True,True,False,False,True
Pick It Up (feat. A$AP Rocky),2,13867177,6933588.5,69.5,single,2017-10-20,day,False,1,3,64.0,64,0,0,0.0,169,True,True,True,False,True,True,False,False,False,True
Still Striving,1,3388039,3388039.0,70.0,album,2017-08-18,day,False,14,41,45.07142857142857,73,19,82,4.315789473684211,183,True,True,True,False,True,True,True,False,False,True
Birds In The Trap Sing McKnight,1,21283824,21283824.0,87.0,album,2016-09-16,day,False,14,47,63.5,83,1,82,82.0,171,True,True,True,False,True,True,False,False,False,True
